,Unnamed: 0.1,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country,Nationality,Sign,Weight_class
439,439,Barry Michael,,,featherweight,,,,60,48.0,15.0,9.0,3.0,0.0,M,,,,,,featherweight
440,440,Rocky Lockridge,1959-01-10,"Tacoma, Washington, U.S.",featherweight/featherweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Orthodox,53,44.0,36.0,9.0,,,M,169.0,173.0,USA,American,Capricorn,featherweight
441,441,John John Molina,1965-03-17,"Fajardo, Puerto Rico",lightweight/featherweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,59,52.0,33.0,7.0,,,M,170.0,170.0,Puerto Rico,American(Puerto Rican),Pisces,featherweight
442,442,Tracy Harris Patterson,1964-12-26,"Grady, Alabama, U.S.",bantamweight/featherweight,5 ft 5+1⁄2 in (166 cm),67+1⁄2 in (171 cm),Orthodox,73,63.0,43.0,8.0,1.0,,M,166.0,171.0,USA,American,Capricorn,bantamweight
443,443,Arturo Gatti,1972-04-15,"Montreal, Quebec, Canada",featherweight/welterweight/welterweight,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Orthodox,49,40.0,31.0,9.0,,,M,173.0,173.0,Canada,Canadian,Aries,featherweight
444,444,Diego Corrales,1977-08-25,"Columbia, South Carolina, U.S.",featherweight/lightweight,5 ft 10+1⁄2 in (179 cm)[1],70 in (178 cm)[1],Orthodox,45,40.0,33.0,5.0,,,M,179.0,178.0,USA,American,Virgo,featherweight
445,445,Steve Forbes,1947-07-18,"Morristown, New Jersey, U.S.",,,,,,,,,,,M,,,USA,American,Cancer,
446,446,Erik Morales,1976-09-01,"Tijuana, Baja California, Mexico",bantamweight/featherweight/featherweight/lightweight/welterweight/welterweight,5 ft 8 in (173 cm)[1],72 in (183 cm)[1],Orthodox,61,52.0,36.0,9.0,,,M,173.0,183.0,Mexico,Mexican,Virgo,bantamweight
447,447,Robbie Peden,1973-11-11,"Brisbane, Queensland, Australia",,1.73 m (5 ft 8 in),175 cm (69 in),Orthodox,29,25.0,14.0,4.0,0.0,,M,173.0,175.3,Australia,Australian,Scorpio,
448,448,Gairy St. Clair,1975-02-02,"Georgetown, Guyana",lightweight,,,Orthodox,60,46.0,18.0,12.0,2.0,0.0,M,,,Guyana,Guyanese,Aquarius,lightweight
449,449,Mzonke Fana,1973-10-29,"Qumbu, South Africa",featherweight/lightweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,51,38.0,16.0,13.0,,,M,170.0,178.0,South Africa,South African,Scorpio,featherweight
450,450,Robert Guerrero,1983-03-27,"Gilroy, California, U.S.",featherweight/featherweight/lightweight/welterweight,5 ft 8 in (173 cm)[1],70 in (178 cm)[1],Southpaw,47,38.0,20.0,6.0,1.0,2.0,M,173.0,178.0,USA,American,Aries,featherweight
451,451,Juan Carlos Salgado,1984-12-20,"Mexico City, Mexico",featherweight/featherweight/lightweight/welterweight,5 ft 9 in (175 cm),69+1⁄2 in (177 cm),Orthodox,40,28.0,17.0,10.0,1.0,1.0,M,175.0,177.0,Mexico,Mexican,Sagittarius,featherweight
452,452,Argenis Mendez,1986-07-03,"San Juan, Dominican Republic",featherweight/lightweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,36,25.0,12.0,7.0,3.0,1.0,M,175.0,178.0,Dominican Republic,Dominican,Cancer,featherweight
453,453,Gervonta Davis,1994-11-07,"Baltimore, Maryland, U.S.",featherweight/lightweight/welterweight,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Southpaw,29,29.0,27.0,,,,M,165.0,171.0,USA,American,Scorpio,featherweight
454,454,Tevin Farmer,1990-07-30,"Philadelphia, Pennsylvania, U.S.",featherweight/lightweight,5 ft 6 in (168 cm),67 in (170 cm),Southpaw,39,32.0,7.0,5.0,1.0,1.0,M,168.0,170.0,USA,American,Leo,featherweight
455,455,Joseph Diaz,1992-11-23,"South El Monte, California, U.S.",featherweight/featherweight/lightweight/welterweight,5 ft 6 in (168 cm),64 in (163 cm),Southpaw,39,33.0,15.0,5.0,1.0,,M,168.0,163.0,USA,American,Sagittarius,featherweight
456,456,Kenichi Ogawa,1988-02-01,"Toyohashi, Japan",featherweight,5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Orthodox,32,28.0,19.0,2.0,1.0,1.0,M,173.0,173.0,Japan,Japanese,Aquarius,featherweight
457,457,Joe Cordina,1991-12-01,"Cardiff, Wales",featherweight/lightweight,5 ft 9 in (175 cm),69 in (175 cm),,17,17.0,9.0,,,,M,175.0,175.0,Wales,British,Sagittarius,featherweight
458,458,Oh Min-keun,1962-08-15,"Seoul, South Korea",featherweight,,,Orthodox,21,16.0,6.0,5.0,,,M,,,South Korea,South Korean,Leo,featherweight
459,459,Chung Ki-young,1959-11-23,"Gyeongsangbuk-do, South Korea",featherweight,,,,38,31.0,10.0,5.0,2.0,,M,,,South Korea,South Korean,Sagittarius,featherweight
460,460,Calvin Grove,1962-08-05,"Coatesville, Pennsylvania, U.S.",featherweight/featherweight/lightweight,5 ft 7 in (170 cm),70 in (178 cm),Orthodox,59,49.0,18.0,10.0,0.0,0.0,M,170.0,178.0,USA,American,Leo,featherweight
461,461,Jorge Páez,1965-10-27,"Mexicali, Baja California, Mexico",featherweight/featherweight/lightweight,5 ft 5 in (1.65 m),69 in (175 cm),Orthodox,98,79.0,52.0,14.0,5.0,,M,165.0,175.0,Mexico,Mexican,Scorpio,featherweight
462,462,Héctor Lizárraga,1966-09-01,Mexico,welterweight/lightweight/featherweight/featherweight,1.82 m (6 ft 0 in),189 cm (74 in),Orthodox,55,38.0,21.0,12.0,5.0,0.0,M,182.0,188.0,Mexico,Mexican,Virgo,featherweight
463,463,Paul Ingle,1972-06-22,"Scarborough, North Yorkshire, England",featherweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,25,23.0,16.0,2.0,,,M,165.0,168.0,England,British,Cancer,featherweight
464,464,Mbulelo Botile,1972-07-23,"Duncan Village, Buffalo City, South Africa",bantamweight/featherweight/featherweight,5 ft 5 in (165 cm)[1],67 in (170 cm)[1],Orthodox,31,27.0,16.0,4.0,,,M,165.0,170.0,South Africa,South African,Leo,bantamweight
465,465,Frank Toledo,1970-04-12,"Newark, New Jersey",featherweight,,,,51,43.0,18.0,7.0,1.0,,M,,,USA,American,Aries,featherweight
466,466,Johnny Tapia,1967-02-13,"Albuquerque, New Mexico, U.S.",flyweight/bantamweight/featherweight/lightweight,5 ft 6 in (168 cm)[1],62+1⁄2 in (159 cm)[1],Orthodox,66,59.0,30.0,5.0,2.0,,M,168.0,159.0,USA,American,Aquarius,flyweight
467,467,Juan Manuel Márquez,1973-08-23,"Iztacalco, Mexico City, Mexico",featherweight/featherweight/lightweight/welterweight/welterweight,5 ft 7 in (170 cm),67 in (170 cm),Orthodox,64,56.0,40.0,7.0,1.0,,M,170.0,170.0,Mexico,Mexican,Virgo,featherweight
468,468,Valdemir Pereira,1974-11-15,"Cruz das Almas, Bahia, Brazil",featherweight,5 ft 5 in (1.65 m),,Orthodox,25,24.0,15.0,1.0,,,M,165.0,,Brazil,Brazilian,Scorpio,featherweight
469,469,Eric Aiken,1980-04-08,"Marysville, Ohio, USA",featherweight,5 ft 7 in (170 cm),71 in (180 cm),Orthodox,29,16.0,12.0,11.0,1.0,1.0,M,170.0,180.0,USA,American,Aries,featherweight
470,470,Orlando Salido,1980-11-16,"Ciudad Obregón, Sonora, Mexico",featherweight/featherweight,5 ft 6 in (168 cm),67 in (170 cm),Orthodox,63,44.0,31.0,14.0,4.0,1.0,M,168.0,170.0,Mexico,Mexican,Scorpio,featherweight
471,471,Yuriorkis Gamboa,1981-12-23,"Guantánamo, Cuba",featherweight/featherweight/lightweight,5 ft 5+1⁄2 in (166 cm),65 in (165 cm),Orthodox,35,30.0,18.0,5.0,,,M,166.0,165.0,Cuba,Cuban,Capricorn,featherweight
472,472,Evgeny Gradovich,1986-08-07,"Igrim, Khanty-Mansi Autonomous Okrug, Russian SFSR, Soviet Union",bantamweight/featherweight/featherweight,1.73 m (5 ft 8 in),170 cm (67 in),Orthodox,26,23.0,9.0,2.0,1.0,,M,173.0,170.2,Russia,Russian,Leo,bantamweight
473,473,Lee Selby,1987-02-14,"Bala Town, Wales",featherweight/lightweight,5 ft 8 in (173 cm)[1],69+1⁄2 in (177 cm)[1],Orthodox,32,28.0,9.0,4.0,,,M,173.0,177.0,Wales,British,Aquarius,featherweight
474,474,Josh Warrington,1990-11-14,"Leeds, England",featherweight,5 ft 7 in (170 cm)[1],67 in (170 cm)[1],Orthodox,35,31.0,8.0,3.0,1.0,,M,170.0,170.0,England,British,Scorpio,featherweight
475,475,Kiko Martínez,1986-03-07,"Elche, Baix Vinalopó,Alicante, Spain",bantamweight/featherweight/featherweight,165 cm (5 ft 5 in),168 cm (66 in),Orthodox,58,44.0,31.0,12.0,2.0,,M,165.0,167.6,Spain,Spanish,Pisces,bantamweight
476,476,Luis Alberto Lopez,1993-08-21,"Mexicali, Baja California, Mexico",featherweight,5 ft 4 in (163 cm),66+1⁄2 in (169 cm),Orthodox,32,30.0,17.0,2.0,,,M,163.0,169.0,Mexico,Mexican,Leo,featherweight
477,477,Bobby Berna,1961-05-19,"Quezon City, Philippines",bantamweight/bantamweight,5 ft 6 in (168 cm),67 in (170 cm),Southpaw,38,31.0,17.0,6.0,1.0,,M,168.0,170.0,Philippines,Filipino,Taurus,bantamweight
478,478,Suh Sung-in,1959-07-18,"Seoul, South Korea",bantamweight,,,,27,22.0,9.0,5.0,,,M,,,South Korea,South Korean,Cancer,bantamweight
479,479,Lee Seung-hoon,1988-03-06,,,1.77 m (5 ft 10 in)[1],,,,,,,,,M,177.0,,,,Pisces,
480,480,José Sanabria,1963-02-16,"Morón, Venezuela",bantamweight,5 ft 8 in (173 cm),65 in (165 cm),Orthodox,40,22.0,12.0,15.0,3.0,,M,173.0,165.0,Venezuela,Venezuelan,Aquarius,bantamweight
481,481,Fabrice Benichou,1965-04-05,"Madrid, Spain",bantamweight/bantamweight/featherweight,5 ft 3 in (1.60 m),,,66,46.0,24.0,18.0,2.0,,M,160.0,,Spain,Spanish,Aries,bantamweight
482,482,Welcome Ncita,1965-10-25,"Mdantsane, South Africa",,5 ft 5.5 in (1.66 m),,,44,40.0,21.0,3.0,1.0,,M,166.0,,South Africa,South African,Scorpio,
483,483,Kennedy McKinney,1966-01-10,"Hernando, Mississippi, U.S.",bantamweight,5 ft 7 in (170 cm),68 in (173 cm),Orthodox,43,36.0,19.0,6.0,1.0,,M,170.0,173.0,USA,American,Capricorn,bantamweight
484,484,Lehlo Ledwaba,1971-07-27,"Soweto, Gauteng,South Africa",bantamweight/bantamweight/featherweight/featherweight,5 ft 5 in (165 cm)[1],69 in (175 cm)[1],Orthodox,43,36.0,23.0,6.0,1.0,,M,165.0,175.0,South Africa,South African,Leo,bantamweight
485,485,Israel Vázquez,1977-12-25,"Mexico City, Mexico",bantamweight/featherweight,5 ft 4+1⁄2 in (164 cm),66+1⁄2 in (169 cm),Orthodox,49,44.0,32.0,5.0,,,M,164.0,169.0,Mexico,Mexican,Capricorn,bantamweight
486,486,Steve Molitor,1980-04-04,"Sarnia, Ontario, Canada",bantamweight/bantamweight,5 ft 7 in (170 cm),,Southpaw,37,34.0,12.0,3.0,,,M,170.0,,Canada,Canadian,Aries,bantamweight
487,487,Celestino Caballero,1976-06-21,"Colón, Panama",bantamweight/featherweight/featherweight,5 ft 11 in (180 cm),73+1⁄2 in (187 cm),Orthodox,43,37.0,24.0,6.0,,,M,180.0,187.0,Panama,Panamanian,Cancer,bantamweight
488,488,Jeffrey Mathebula,1979-06-22,"Malamulele, South Africa",bantamweight,5 ft 10 in (178 cm)[1],,Orthodox,34,27.0,14.0,5.0,2.0,,M,178.0,,South Africa,South African,Cancer,bantamweight
489,489,Carl Frampton,1987-02-21,"Tigers Bay, Belfast,Northern Ireland",bantamweight/featherweight/featherweight/lightweight,5 ft 5 in (165 cm)[1],62 in (157 cm)[1],Orthodox,31,28.0,16.0,3.0,,,M,165.0,157.0,Ireland,Irish,Pisces,bantamweight
490,490,Jonathan Guzmán,1989-07-17,"Boca Chica, Santo Domingo,Dominican Republic",bantamweight/bantamweight,5 ft 5+1⁄2 in (166 cm),68+1⁄2 in (174 cm),Orthodox,28,25.0,24.0,2.0,,1.0,M,166.0,174.0,Dominican Republic,Dominican,Cancer,bantamweight
491,491,Yukinori Oguni,1988-05-19,"Akō, Hyōgo, Japan",bantamweight,5 ft 7+1⁄2 in (171 cm),69+1⁄2 in (177 cm),Orthodox,26,21.0,8.0,2.0,3.0,,M,171.0,177.0,Japan,Japanese,Taurus,bantamweight
492,492,Ryosuke Iwasa,1989-12-26,"Kashiwa, Chiba, Japan",bantamweight/bantamweight,171 cm (5 ft 7 in),180 cm (71 in),Southpaw,33,28.0,18.0,5.0,,,M,171.0,180.3,Japan,Japanese,Capricorn,bantamweight
493,493,TJ Doheny,1986-11-02,"Portlaoise, Ireland",bantamweight,5 ft 5+1⁄2 in (166 cm),68 in (173 cm),Southpaw,29,25.0,19.0,4.0,,,M,166.0,173.0,Ireland,Irish,Scorpio,bantamweight
494,494,Murodjon Akhmadaliev,1994-11-02,"Chust, Uzbekistan",bantamweight,5 ft 5+1⁄2 in (166 cm)[1],68 in (173 cm)[1],Southpaw,13,12.0,9.0,1.0,,,M,166.0,173.0,Uzbekistan,Uzbek,Scorpio,bantamweight
495,495,Marlon Tapales,1992-03-23,"Tubod, Lanao del Norte, Philippines",flyweight/flyweight/flyweight/bantamweight/bantamweight,5 ft 4 in (163 cm),67+1⁄2 in (171 cm),Southpaw,41,37.0,19.0,4.0,,,M,163.0,171.0,Philippines,Filipino,Aries,flyweight
496,496,Naoya Inoue,1993-04-10,"Zama, Kanagawa, Japan",flyweight/flyweight/bantamweight/bantamweight,5 ft 5.5 in (166 cm)[1],67.5 in (171 cm)[1],Orthodox,26,26.0,23.0,,,,M,166.0,171.0,Japan,Japanese,Aries,flyweight
497,497,Satoshi Shingaki,1964-02-21,"Itoman, Okinawa Island, USCAR(nowadays Itoman, Okinawa Prefecture, Japan)",bantamweight,,,Southpaw,15,11.0,8.0,3.0,1.0,,M,,,Japan,Japanese,Pisces,bantamweight
498,498,Jeff Fenech,1964-05-28,"Sydney, New South Wales, Australia",flyweight/bantamweight/bantamweight/featherweight/featherweight/lightweight,5 ft 7 in (170 cm)[1],66+1⁄2 in (169 cm)[1],Orthodox,33,28.0,21.0,3.0,1.0,,M,170.0,169.0,Australia,Australian,Gemini,flyweight
499,499,Kelvin Seabrooks,1963-03-10,"Charlotte, North Carolina, U.S.",bantamweight/bantamweight,5 ft 6 in (168 cm),65+1⁄2 in (166 cm),Orthodox,50,28.0,23.0,22.0,,,M,168.0,166.0,USA,American,Pisces,bantamweight
500,500,Orlando Canizales,1965-11-25,"Laredo, Webb County, Texas, U.S.",bantamweight/bantamweight/featherweight,5 ft 4 in (163 cm)[1],65 in (165 cm)[1],Orthodox,57,50.0,37.0,5.0,1.0,1.0,M,163.0,165.0,USA,American,Sagittarius,bantamweight
501,501,Harold Mestre,1968-09-11,"Cartagena, Colombia",bantamweight/bantamweight,,,Orthodox,41,29.0,23.0,11.0,1.0,,M,,,Colombia,Colombian,Virgo,bantamweight
502,502,Tim Austin,1971-04-14,"Cincinnati, Ohio, U.S.",,,,,30,27.0,24.0,2.0,1.0,,M,,,USA,American,Aries,
503,503,Luis Alberto Pérez,1978-04-06,"Managua, Nicaragua",flyweight/bantamweight/bantamweight,5 ft 5+1⁄2 in (166 cm)[1],66+1⁄2 in (169 cm)[1],Southpaw,33,27.0,17.0,5.0,1.0,,M,166.0,169.0,Nicaragua,Nicaraguan,Aries,flyweight
504,504,Yonnhy Pérez,1979-01-18,"Cartagena, Colombia",bantamweight,5 ft 6 in (168 cm),69 in (175 cm),Orthodox,23,20.0,14.0,2.0,1.0,,M,168.0,175.0,Colombia,Colombian,Capricorn,bantamweight
505,505,Abner Mares,1985-11-28,"Guadalajara, Jalisco, Mexico",bantamweight/bantamweight/featherweight/featherweight,5 ft 4+1⁄2 in (164 cm)[1],66 in (168 cm)[1],Orthodox,36,31.0,15.0,3.0,2.0,,M,164.0,168.0,Mexico,Mexican,Sagittarius,bantamweight
506,506,Léo Santa Cruz,1988-08-10,"Huetamo, Michoacán, Mexico",bantamweight/bantamweight/featherweight/featherweight/lightweight,5 ft 7+1⁄2 in (171 cm)[1],69 in (175 cm)[1],Orthodox,41,38.0,19.0,2.0,1.0,,M,171.0,175.0,Mexico,Mexican,Leo,bantamweight
507,507,Jamie McDonnell,1986-03-30,"Hatfield, Doncaster, England",flyweight/bantamweight,5 ft 9+1⁄2 in (177 cm),71+1⁄2 in (182 cm),Orthodox,35,30.0,13.0,3.0,1.0,1.0,M,177.0,182.0,England,British,Aries,flyweight
508,508,Randy Caballero,1990-09-27,"Indio, California, U.S.",bantamweight/bantamweight,5 ft 5 in (165 cm),68 in (173 cm),Orthodox,25,24.0,14.0,1.0,,,M,165.0,173.0,USA,American,Libra,bantamweight
509,509,Lee Haskins,1983-01-29,"Bristol, England",flyweight/flyweight/bantamweight/bantamweight,5 ft 5 in (165 cm),66 in (168 cm),Southpaw,41,36.0,14.0,5.0,,,M,165.0,168.0,England,British,Aquarius,flyweight
510,510,Ryan Burnett,1992-05-21,"Belfast, Northern Ireland",bantamweight,5 ft 4 in (163 cm),66 in (168 cm),Orthodox,21,20.0,10.0,1.0,,,M,163.0,168.0,Ireland,Irish,Gemini,bantamweight
511,511,Emmanuel Rodríguez,1992-08-08,"Manatí, Puerto Rico",bantamweight,5 ft 6 in (168 cm),66+1⁄2 in (169 cm),,25,22.0,13.0,2.0,,1.0,M,168.0,169.0,Puerto Rico,American(Puerto Rican),Leo,bantamweight
512,512,Chun Ju-do,1964-01-25,"Gangwon-do, South Korea",flyweight,,,,27,20.0,11.0,4.0,3.0,0.0,M,,,South Korea,South Korean,Aquarius,flyweight
513,513,Ellyas Pical,1960-03-24,"Saparua, Indonesia",flyweight,1.65 m (5 ft 5 in),,Southpaw,26,20.0,11.0,5.0,1.0,0.0,M,165.0,,Indonesia,Indonesian,Aries,flyweight
514,514,Cesar Polanco,1967-11-29,"Santiago, Dominican Republic",flyweight/flyweight,,,Orthodox,38,33.0,24.0,4.0,1.0,0.0,M,,,Dominican Republic,Dominican,Sagittarius,flyweight
515,515,Chang Tae-il,1965-04-10,"Damyang County, South Korea",flyweight,5 ft 8 in (173 cm),,Southpaw,31,26.0,11.0,4.0,1.0,0.0,M,173.0,,South Korea,South Korean,Aries,flyweight
516,516,Juan Polo Pérez,1963-10-17,"Bolivar, Colombia",flyweight/bantamweight/featherweight/featherweight/lightweight,1.65 m (5 ft 5 in),175 cm (69 in),Orthodox,96,46.0,23.0,46.0,4.0,,M,165.0,175.3,Colombia,Colombian,Libra,flyweight
517,517,Robert Quiroga,1969-10-10,"San Antonio, Texas, USA",flyweight/flyweight,5 ft 4 in (162 cm),,Orthodox,22,20.0,11.0,2.0,0.0,0.0,M,162.0,,USA,American,Libra,flyweight
518,518,Julio César Borboa,1969-08-12,"Guaymas, Sonora, Mexico",lightweight/featherweight/bantamweight/flyweight,1.77 m (5 ft 10 in),185 cm (73 in),Orthodox,30,24.0,22.0,6.0,0.0,0.0,M,177.0,185.4,Mexico,Mexican,Leo,flyweight
519,519,Carlos Gabriel Salazar,1964-09-05,"Sáenz Peña, Argentina",flyweight/flyweight,5 ft 4 in (163 cm),65+1⁄2 in (166 cm),Southpaw,58,47.0,18.0,8.0,3.0,,M,163.0,166.0,Argentina,Argentine,Virgo,flyweight
520,520,Félix Machado,1972-08-22,Guyana,featherweight,5 ft 7 in (1.70 m),69 in (180 cm),Southpaw,47,26.0,12.0,20.0,1.0,0.0,M,170.0,180.0,Guyana,Guyanese,Leo,featherweight
521,521,Dimitri Kirilov,1978-11-24,"Leningrad, Soviet Union",flyweight,5 ft 4 in (162 cm),,,33,29.0,9.0,4.0,1.0,0.0,M,162.0,,Russia,Russian,Sagittarius,flyweight
522,522,Simphiwe Nongqayi,1972-02-18,"Border Post, Eastern Cape, South Africa",flyweight/juniorfeatherweight,5 ft 6 in (1.68 m),,Orthodox,21,17.0,6.0,3.0,1.0,,M,168.0,,South Africa,South African,Aquarius,flyweight
523,523,Juan Alberto Rosas,1984-11-28,"Tepic, Nayarit, Mexico",bantamweight/flyweight,1.74 m (5 ft 9 in),180 cm (71 in),Orthodox,51,41.0,28.0,10.0,0.0,0.0,M,174.0,180.3,Mexico,Mexican,Sagittarius,flyweight
524,524,Cristian Mijares,1981-10-02,"Gomez Palacio, Durango, Mexico",flyweight/bantamweight/bantamweight/featherweight,5 ft 6 in (168 cm)[1],68 in (173 cm)[1],Southpaw,70,59.0,27.0,9.0,2.0,,M,168.0,173.0,Mexico,Mexican,Libra,flyweight
525,525,Rodrigo Guerrero,1988-01-10,"Mexico City, Mexico",bantamweight/flyweight,1.69 m (5 ft 7 in),175 cm (69 in),Southpaw,33,25.0,16.0,6.0,2.0,0.0,M,169.0,175.3,Mexico,Mexican,Capricorn,flyweight
526,526,Juan Carlos Sánchez Jr.,1991-01-08,"Los Mochis, Sinaloa, Mexico",flyweight/bantamweight,5 ft 8+1⁄2 in (174 cm),72 in (183 cm),Orthodox,31,24.0,11.0,6.0,1.0,,M,174.0,183.0,Mexico,Mexican,Capricorn,flyweight
527,527,Daiki Kameda,1989-01-06,"Osaka, Japan",flyweight/flyweight,5 ft 6 in (168 cm),64+1⁄2 in (164 cm),Orthodox,34,29.0,18.0,5.0,,,M,168.0,164.0,Japan,Japanese,Capricorn,flyweight
528,528,Zolani Tete,1988-03-08,"Mdantsane, Eastern Cape, South Africa",flyweight/flyweight/bantamweight/bantamweight,5 ft 9 in (175 cm),72 in (183 cm),Southpaw,34,30.0,23.0,4.0,,,M,175.0,183.0,South Africa,South African,Pisces,flyweight
529,529,McJoe Arroyo,1985-12-05,"Ceiba, Puerto Rico",flyweight,5 ft 4 in (163 cm),65 in (165 cm),Southpaw,22,18.0,8.0,4.0,,,M,163.0,165.0,Puerto Rico,American(Puerto Rican),Sagittarius,flyweight
530,530,Jerwin Ancajas,1992-01-01,"Panabo, Davao del Norte, Philippines",flyweight/bantamweight,5 ft 6 in (168 cm),66+1⁄2 in (169 cm),Southpaw,40,34.0,23.0,4.0,2.0,,M,168.0,169.0,Philippines,Filipino,Capricorn,flyweight
531,531,Kwon Soon-chun,1959-04-24,"Seoul, South Korea",flyweight/[1]/flyweight,,,Southpaw,35,27.0,18.0,5.0,3.0,,M,,,South Korea,South Korean,Taurus,flyweight
532,532,Chung Jong-kwan,1961-11-30,"Hampyeong, South Korea",flyweight/flyweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,32,17.0,7.0,11.0,4.0,0.0,M,166.0,,South Korea,South Korean,Sagittarius,flyweight
533,533,Shin Hi-sup,1964-07-29,"Seoul, South Korea",flyweight,,,Southpaw,41,37.0,22.0,3.0,1.0,0.0,M,,,South Korea,South Korean,Leo,flyweight
534,534,Dodie Boy Peñalosa,1962-11-19,"San Carlos, Negros Occidental, Philippines",flyweight/flyweight/flyweight,5 ft 5 in (165 cm),,Southpaw,42,31.0,13.0,7.0,3.0,1.0,M,165.0,,Philippines,Filipino,Scorpio,flyweight
535,535,Choi Chang-ho,1964-02-10,"Seoul, South Korea",flyweight,5 ft 6 in (1.68 m),,,20,15.0,12.0,5.0,,,M,168.0,,South Korea,South Korean,Aquarius,flyweight
536,536,Rolando Bohol,1965-12-25,"Himamaylan,Negros Occidental,Philippines",flyweight/flyweight/bantamweight,,,Southpaw,52,34.0,7.0,15.0,3.0,,M,,,Philippines,Filipino,Capricorn,flyweight
537,537,Duke McKenzie,1963-05-05,"Croydon, Surrey,England",flyweight/bantamweight/bantamweight/featherweight,5 ft 7 in (170 cm),,Orthodox,46,39.0,20.0,7.0,,,M,170.0,,England,British,Taurus,flyweight
538,538,Dave McAuley,1961-06-15,"Larne, County Antrim, Northern Ireland",flyweight,,,,23,18.0,8.0,3.0,2.0,,M,,,Ireland,Irish,Gemini,flyweight
539,539,Rodolfo Blanco,1966-06-14,"San Onofre, Colombia",flyweight,,,,50,29.0,18.0,22.0,1.0,,M,,,Colombia,Colombian,Gemini,flyweight
540,540,Pichit Sitbangprachan,1966-01-15,,,161 cm (5 ft 3 in),,Southpaw,24,24.0,18.0,0.0,0.0,0.0,M,161.0,,,,Capricorn,
541,541,Francisco Tejedor,1966-06-20,"Barranquilla, Colombia",flyweight/flyweight/bantamweight/bantamweight,5 ft 6+1⁄2 in (169 cm),74 in (188 cm),Orthodox,69,46.0,31.0,21.0,2.0,,M,169.0,188.0,Colombia,Colombian,Gemini,flyweight
542,542,Amnat Ruenroeng,1979-12-18,"Amphoe Si Racha, Chonburi Province, eastern Thailand",flyweight/flyweight/featherweight/featherweight,5 ft 4.5 in (1.64 m),69.5 in (177 cm),Orthodox,28,21.0,6.0,7.0,,,M,164.0,177.0,Thailand,Thai,Sagittarius,flyweight
543,543,John Riel Casimero,1989-02-13,"Merida, Leyte, Philippines[1]",flyweight/flyweight/bantamweight/bantamweight,5 ft 4 in (163 cm)[2],64 in (163 cm)[2],Orthodox Bombalaos,37,33.0,22.0,4.0,1.0,,M,163.0,163.0,Philippines,Filipino,Aquarius,flyweight
544,544,Donnie Nietes,1982-05-12,"Murcia, Negros Occidental, Philippines",flyweight/juniorflyweight/flyweight/juniorbantamweight,5 ft 3 in (160 cm),65+1⁄2 in (166 cm),Orthodox,51,43.0,23.0,2.0,6.0,,M,160.0,166.0,Philippines,Filipino,Taurus,flyweight
545,545,Muhammad Waseem,1987-08-29,"Quetta, Pakistan",flyweight/bantamweight,5 ft 6 in (168 cm),66+1⁄2 in (169 cm),Orthodox,14,12.0,8.0,2.0,,,M,168.0,169.0,Pakistan,Pakistani,Virgo,flyweight
546,546,Sunny Edwards,1996-01-01,"Sutton, London, England",flyweight/flyweight,5 ft 3 in (160 cm)[1],,Orthodox,21,20.0,4.0,1.0,,,M,160.0,,England,British,Capricorn,flyweight
547,547,Choi Jum-hwan,1967-06-09,South Korea,flyweight/flyweight,,,Orthodox,23,20.0,8.0,3.0,,,M,,,South Korea,South Korean,Gemini,flyweight
548,548,Tacy Macalos,1965-10-28,"Padre Burgos, Philippines",flyweight,5 ft 4 in (163 cm),,Orthodox,44,29.0,12.0,12.0,3.0,,M,163.0,,Philippines,Filipino,Scorpio,flyweight
549,549,Muangchai Kittikasem,1968-11-11,"Tha Chai, Mueang Chainat, Chainat, Thailand",flyweight/flyweight,5 ft 4 in (163 cm),,Orthodox,29,25.0,17.0,4.0,,,M,163.0,,Thailand,Thai,Scorpio,flyweight
550,550,Michael Carbajal,1967-09-17,"Phoenix, U.S.",flyweight,5 ft 5.5 in (1.66 m),63 in (160 cm),Orthodox,53,49.0,33.0,4.0,,,M,166.0,160.0,USA,American,Virgo,flyweight
551,551,Humberto González,1966-03-25,"Ciudad Nezahualcóyotl, State of Mexico",flyweight,5 ft 1 in (1.55 m),65 in (165.1 cm),Orthodox,46,43.0,30.0,3.0,,,M,155.0,165.1,Mexico,Mexican,Aries,flyweight
552,552,Saman Sorjaturong,1968-08-02,"Amphoe Khlong Lan, Kamphaeng Phet province, Thailand",flyweight,,,Orthodox,55,46.0,34.0,8.0,1.0,,M,,,Thailand,Thai,Leo,flyweight
553,553,Melchor Cob Castro,1968-04-18,"Campeche, Mexico",flyweight,5 ft 0 in (153 cm),,Southpaw,87,71.0,34.0,12.0,4.0,,M,153.0,,Mexico,Mexican,Aries,flyweight
